
>>> SCRIPT LAST RUN @  Fri May 6 16:56:30 PDT 2011 

             relname              | buffers 
----------------------------------+---------
 pg_operator                      |      10
 pg_rewrite                       |       4
 pg_operator_oid_index            |       4
 pg_operator_oprname_l_r_n_index  |       4
 pg_amop                          |       3
 pg_statistic                     |       3
 pg_amproc                        |       3
 pg_statistic_relid_att_inh_index |       3
 pg_amop_fam_strat_index          |       3
 pg_amproc_fam_proc_index         |       2
 pg_cast                          |       2
 pg_rewrite_rel_rulename_index    |       2
 pg_aggregate_fnoid_index         |       2
 pg_index_indrelid_index          |       2
 pg_namespace_nspname_index       |       2
 pg_amop_opr_fam_index            |       2
 pg_index_indexrelid_index        |       2
 pg_cast_source_target_index      |       2
 pg_index                         |       2
 pg_opclass                       |       2
 pg_opclass_am_name_nsp_index     |       2
 pg_opclass_oid_index             |       2
 pg_am                            |       1
 pg_namespace                     |       1
 pg_aggregate                     |       1
(25 rows)

